Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/generate,81,0,2800,2803.1006968395072,2321.3336759999947,3323.385452000025,71.0,4.273686029630599,0.0,2800,3000,3000,3100,3200,3300,3300,3300,3300,3300,3300
,Aggregated,81,0,2800,2803.1006968395072,2321.3336759999947,3323.385452000025,71.0,4.273686029630599,0.0,2800,3000,3000,3100,3200,3300,3300,3300,3300,3300,3300
